client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
9c1fb100aa7d62e3224be37126c06fa989d9eabc51a69cb36b6cef32ef76602462092201e047a05380e958955b158612810f32b4a65e97e2b8fd2f2b31db1667	common_voice_zh-TW_37287176.mp3	因為花費太多	0	0	fifties	male			zh-TW	
9c1fb100aa7d62e3224be37126c06fa989d9eabc51a69cb36b6cef32ef76602462092201e047a05380e958955b158612810f32b4a65e97e2b8fd2f2b31db1667	common_voice_zh-TW_37287177.mp3	跟解放軍對抗	0	0	fifties	male			zh-TW	
9c1fb100aa7d62e3224be37126c06fa989d9eabc51a69cb36b6cef32ef76602462092201e047a05380e958955b158612810f32b4a65e97e2b8fd2f2b31db1667	common_voice_zh-TW_37287178.mp3	我還有點懷疑是不是德國的	0	0	fifties	male			zh-TW	
9c1fb100aa7d62e3224be37126c06fa989d9eabc51a69cb36b6cef32ef76602462092201e047a05380e958955b158612810f32b4a65e97e2b8fd2f2b31db1667	common_voice_zh-TW_37287179.mp3	圓環北路	0	0	fifties	male			zh-TW	
9c1fb100aa7d62e3224be37126c06fa989d9eabc51a69cb36b6cef32ef76602462092201e047a05380e958955b158612810f32b4a65e97e2b8fd2f2b31db1667	common_voice_zh-TW_37287180.mp3	我原本以為主要是英文溝通	0	0	fifties	male			zh-TW	
9c1fb100aa7d62e3224be37126c06fa989d9eabc51a69cb36b6cef32ef76602462092201e047a05380e958955b158612810f32b4a65e97e2b8fd2f2b31db1667	common_voice_zh-TW_37287186.mp3	年溫差都小	0	0	fifties	male			zh-TW	
9c1fb100aa7d62e3224be37126c06fa989d9eabc51a69cb36b6cef32ef76602462092201e047a05380e958955b158612810f32b4a65e97e2b8fd2f2b31db1667	common_voice_zh-TW_37287187.mp3	新政府要承擔的第三件事情	0	0	fifties	male			zh-TW	
9c1fb100aa7d62e3224be37126c06fa989d9eabc51a69cb36b6cef32ef76602462092201e047a05380e958955b158612810f32b4a65e97e2b8fd2f2b31db1667	common_voice_zh-TW_37287188.mp3	頭屋二交流道	0	0	fifties	male			zh-TW	
9c1fb100aa7d62e3224be37126c06fa989d9eabc51a69cb36b6cef32ef76602462092201e047a05380e958955b158612810f32b4a65e97e2b8fd2f2b31db1667	common_voice_zh-TW_37287189.mp3	因為河水的密度愈來愈大	0	0	fifties	male			zh-TW	
9c1fb100aa7d62e3224be37126c06fa989d9eabc51a69cb36b6cef32ef76602462092201e047a05380e958955b158612810f32b4a65e97e2b8fd2f2b31db1667	common_voice_zh-TW_37287190.mp3	手機畫面	0	0	fifties	male			zh-TW	
9c1fb100aa7d62e3224be37126c06fa989d9eabc51a69cb36b6cef32ef76602462092201e047a05380e958955b158612810f32b4a65e97e2b8fd2f2b31db1667	common_voice_zh-TW_37287191.mp3	數位原生世代	0	0	fifties	male			zh-TW	
9c1fb100aa7d62e3224be37126c06fa989d9eabc51a69cb36b6cef32ef76602462092201e047a05380e958955b158612810f32b4a65e97e2b8fd2f2b31db1667	common_voice_zh-TW_37287192.mp3	台北聯絡線	0	0	fifties	male			zh-TW	
